"region","value","period","indID","source","is_number","dsID"
"SSD","134606","2014-01-13","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","115895","2014-01-10","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","217999","2014-02-27","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","175067","2014-02-02","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","198507","2014-02-21","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","149798","2014-01-20","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","299981","2014-03-26","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","176882","2014-02-06","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","204001","2014-02-24","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","194510","2014-02-15","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","289961","2014-03-19","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","291018","2014-03-20","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","363676","2014-05-23","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","151980","2014-01-23","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","148261","2014-01-16","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","198133","2014-02-20","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","320479","2014-04-29","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","313996","2014-04-08","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","194364","2014-02-14","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","134155","2014-01-12","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","158535","2014-01-26","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","312794","2014-04-06","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","354799","2014-05-07","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","109714","2013-12-17","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","159393","2014-01-27","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","362646","2014-05-21","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","147765","2014-01-15","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","110021","2013-12-25","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","112621","2014-01-05","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","311727","2014-04-04","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","250951","2014-03-04","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","203623","2014-02-23","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","248232","2014-03-02","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","295372","2014-03-23","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","109907","2013-12-23","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","110228","2013-12-26","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","312734","2014-04-05","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","303462","2014-03-30","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","195243","2014-02-18","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","174127","2014-01-30","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","110632","2013-12-30","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","153261","2014-01-24","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","112138","2014-01-04","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","359472","2014-05-19","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","149010","2014-01-18","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","298778","2014-03-25","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","174869","2014-02-01","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","262433","2014-03-09","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","177788","2014-02-07","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","109731","2013-12-18","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
"SSD","178537","2014-02-08","CHD.O.PRO.29.T2","http://data.unhcr.org/wiki/index.php/API_Documentation",1,"unhcr-real-time"
